Species;Closeness centrality;Betweenness centrality;Network_name
Selasphorus platycercus;1.698630137;0;1_alarcon_co.csv
Selasphorus rufus;0.301369863;0;1_alarcon_co.csv
Selasphorus rufus;1.465437788;0;2_alarcon_ca.csv
Selasphorus calliope;0.534562212;0;2_alarcon_ca.csv
Eugenes fulgens;1.25;0;4_Ortiz-Pulido_pino-ensino.csv
Basilinna leucotis;0.75;0;4_Ortiz-Pulido_pino-ensino.csv
Eugenes fulgens;0.171428571;0;5_Ortiz-Pulido_bosques.csv
Basilinna leucotis;0.534857143;0;5_Ortiz-Pulido_bosques.csv
Lampornis clemenciae;0.587755102;1;5_Ortiz-Pulido_bosques.csv
Amazilia violiceps;0.060810811;0;6_Ortiz-Pulido_matorral.csv
Calothorax lucifer;0.107142857;0;6_Ortiz-Pulido_matorral.csv
Cynanthus latirostris;0.118421053;1;6_Ortiz-Pulido_matorral.csv
Calothorax lucifer;0.211115863;0;7_Ortiz-Pulido_pachuca.csv
Colibri thalassinus;0.085117882;0;7_Ortiz-Pulido_pachuca.csv
Cynanthus latirostris;0.125729681;0;7_Ortiz-Pulido_pachuca.csv
Eugenes fulgens;0.125729681;0;7_Ortiz-Pulido_pachuca.csv
Basilinna leucotis;0.25892903;1;7_Ortiz-Pulido_pachuca.csv
Lampornis clemenciae;0.128244275;0;7_Ortiz-Pulido_pachuca.csv
Amazilia rutila;0.787831565;1;8_arizmendi.csv
Chlorostilbon auriceps;0.246384163;0;8_arizmendi.csv
Cynanthus latirostris;0.20687158;0;8_arizmendi.csv
Heliomaster constantii;0.161698903;0;8_arizmendi.csv
Amazilia candida;0.110506216;0;9_ornelas.csv
Amazilia cyanocephala;0.138034019;0.52173913;9_ornelas.csv
Amazilia yucatanensis;0.075607299;0;9_ornelas.csv
Anthracothorax prevostii;0.058160995;0;9_ornelas.csv
Atthis heloisa;0.137631641;0.173913043;9_ornelas.csv
Campylopterus curvipennis;0.06172199;0;9_ornelas.csv
Campylopterus hemileucurus;0.054498097;0;9_ornelas.csv
Colibri thalassinus;0.101407851;0;9_ornelas.csv
Eugenes fulgens;0.068824916;0;9_ornelas.csv
Lampornis amethystinus;0.056036745;0;9_ornelas.csv
Lamprolaima rhami;0.04894583;0;9_ornelas.csv
Amazilia beryllina;0.102192962;0.304347826;9_ornelas.csv
Amazilia candida;0.097669256;0;10_lara3.csv
Amazilia cyanocephala;0.095609965;0;10_lara3.csv
Amazilia yucatanensis;0.077107308;0;10_lara3.csv
Anthracothorax prevostii;0.109877913;0;10_lara3.csv
Atthis heloisa;0.109877913;0;10_lara3.csv
Campylopterus curvipennis;0.103304021;0;10_lara3.csv
Campylopterus hemileucurus;0.085460599;0;10_lara3.csv
Colibri thalassinus;0.073251942;0;10_lara3.csv
Eugenes fulgens;0.097669256;0;10_lara3.csv
Lampornis amethystinus;0.140623275;0;10_lara3.csv
Amazilia beryllina;0.097669256;0;10_lara3.csv
Calothorax lucifer;0.069570388;0;11_lara2.csv
Cynanthus latirostris;0.2382134;0.5;11_lara2.csv
Eugenes fulgens;0.202098717;0;11_lara2.csv
Basilinna leucotis;0.266678507;0.5;11_lara2.csv
Amazilia beryllina;0.140762463;0;11_lara2.csv
Calothorax lucifer;0.015801695;0;12_lara1.csv
Colibri thalassinus;0.182454207;0;12_lara1.csv
Eugenes fulgens;0.196634754;0;12_lara1.csv
Basilinna leucotis;0.28461721;1;12_lara1.csv
Lampornis amethystinus;0.008104707;0;12_lara1.csv
Lampornis clemenciae;0.189844245;0;12_lara1.csv
Amazilia brevirostris;0.110978288;0.014705882;20_snow72.csv
Amazilia tobaci;0.180136502;0.838235294;20_snow72.csv
Anthracothorax nigricollis;0.047438799;0;20_snow72.csv
Chlorestes notata;0.103431474;0;20_snow72.csv
Chrysolampis mosquitus;0.046701288;0;20_snow72.csv
Florisuga mellivora;0.04343894;0;20_snow72.csv
Glaucis hirsutus;0.165368181;0;20_snow72.csv
Phaethornis guy;0.159852829;0;20_snow72.csv
Phaethornis longuemareus;0.175176122;0.147058824;20_snow72.csv
Amazilia tzacatl;0.122540322;0.323529412;21_mang50.csv
Florisuga mellivora;NA;0;21_mang50.csv
Klais guimeti;0.044503757;0;21_mang50.csv
Phaeochroa cuvierii;0.006342205;0;21_mang50.csv
Phaethornis longirostris;0.044073193;0;21_mang50.csv
Phaethornis striigularis;0.105679536;0.294117647;21_mang50.csv
Thalurania colombica;0.106109542;0.382352941;21_mang50.csv
Threnetes ruckeri;0.006439517;0;21_mang50.csv
Doryfera ludovicae;0.114543652;0;22_mang1000.csv
Eupherusa nigriventris;0.107071261;0.205128205;22_mang1000.csv
Eutoxeres aquila;NA;0;22_mang1000.csv
Heliodoxa jacula;0.016070564;0;22_mang1000.csv
Lampornis calolaemus;0.030135633;0;22_mang1000.csv
Lampornis hemileucus;0.102574729;0.256410256;22_mang1000.csv
Phaethornis guy;0.177234679;0.538461538;22_mang1000.csv
