Species;Species strength;Number of efective partners;Network_name
Selasphorus platycercus;1.591176471;1.251814402;1_alarcon_co.csv
Selasphorus rufus;0.408823529;1.446769474;1_alarcon_co.csv
Selasphorus rufus;3.463316151;2.22862045;2_alarcon_ca.csv
Selasphorus calliope;0.536683849;1.99524564;2_alarcon_ca.csv
Eugenes fulgens;2.625;2.552027924;4_Ortiz-Pulido_pino-ensino.csv
Basilinna leucotis;6.375;5.098981237;4_Ortiz-Pulido_pino-ensino.csv
Eugenes fulgens;1.166666667;1.889881575;5_Ortiz-Pulido_bosques.csv
Basilinna leucotis;5.151515152;3.833544739;5_Ortiz-Pulido_bosques.csv
Lampornis clemenciae;0.681818182;1.754765351;5_Ortiz-Pulido_bosques.csv
Amazilia violiceps;0.5;1;6_Ortiz-Pulido_matorral.csv
Calothorax lucifer;3.724637681;3.40946646;6_Ortiz-Pulido_matorral.csv
Cynanthus latirostris;5.775362319;4.829193332;6_Ortiz-Pulido_matorral.csv
Calothorax lucifer;9.054678363;15.38513491;7_Ortiz-Pulido_pachuca.csv
Colibri thalassinus;0.733333333;4;7_Ortiz-Pulido_pachuca.csv
Cynanthus latirostris;1.397076023;8;7_Ortiz-Pulido_pachuca.csv
Eugenes fulgens;1.397076023;8;7_Ortiz-Pulido_pachuca.csv
Basilinna leucotis;9.181871345;12.34055945;7_Ortiz-Pulido_pachuca.csv
Lampornis clemenciae;1.235964912;7;7_Ortiz-Pulido_pachuca.csv
Amazilia rutila;8.455353989;7.096154778;8_arizmendi.csv
Chlorostilbon auriceps;1.529062019;2.364434193;8_arizmendi.csv
Cynanthus latirostris;2.620861711;4.10226362;8_arizmendi.csv
Heliomaster constantii;2.394722281;3.517709649;8_arizmendi.csv
Amazilia candida;0.140243902;1;9_ornelas.csv
Amazilia cyanocephala;2.536163024;3.944182153;9_ornelas.csv
Amazilia yucatanensis;0.873244642;2.306975512;9_ornelas.csv
Anthracothorax prevostii;0.455712452;1.960131704;9_ornelas.csv
Atthis heloisa;0.324912892;1.94697803;9_ornelas.csv
Campylopterus curvipennis;0.988966318;3.216463455;9_ornelas.csv
Campylopterus hemileucurus;0.067073171;1;9_ornelas.csv
Colibri thalassinus;0.12804878;1;9_ornelas.csv
Eugenes fulgens;0.085365854;1;9_ornelas.csv
Lampornis amethystinus;1.482868757;3.921082063;9_ornelas.csv
Lamprolaima rhami;0.142857143;1;9_ornelas.csv
Amazilia beryllina;1.774543065;3.550832857;9_ornelas.csv
Amazilia candida;0.091954023;1;10_lara3.csv
Amazilia cyanocephala;0.85545977;2.838720513;10_lara3.csv
Amazilia yucatanensis;0.318965517;1.754765351;10_lara3.csv
Anthracothorax prevostii;0.103448276;1;10_lara3.csv
Atthis heloisa;0.103448276;1;10_lara3.csv
Campylopterus curvipennis;0.466954023;1.796701742;10_lara3.csv
Campylopterus hemileucurus;0.08045977;1;10_lara3.csv
Colibri thalassinus;0.068965517;1;10_lara3.csv
Eugenes fulgens;0.091954023;1;10_lara3.csv
Lampornis amethystinus;1.726436782;2.979185666;10_lara3.csv
Amazilia beryllina;0.091954023;1;10_lara3.csv
Calothorax lucifer;0.166666667;1;11_lara2.csv
Cynanthus latirostris;1.026012573;3.912908005;11_lara2.csv
Eugenes fulgens;0.826060506;3.815737705;11_lara2.csv
Basilinna leucotis;1.436959608;3.902823573;11_lara2.csv
Amazilia beryllina;0.544300647;2.951151786;11_lara2.csv
Calothorax lucifer;0.164596273;2;12_lara1.csv
Colibri thalassinus;1.065342578;4.796948627;12_lara1.csv
Eugenes fulgens;2.651383071;7.021924467;12_lara1.csv
Basilinna leucotis;5.897594973;8.123374139;12_lara1.csv
Lampornis amethystinus;0.025;1;12_lara1.csv
Lampornis clemenciae;1.196083105;4.91295284;12_lara1.csv
Amazilia brevirostris;4.822720894;11.85434794;20_snow72.csv
Amazilia tobaci;13.31494484;20.38272862;20_snow72.csv
Anthracothorax nigricollis;1.667760007;5.765738328;20_snow72.csv
Chlorestes notata;6.262349002;14.96049128;20_snow72.csv
Chrysolampis mosquitus;3.798492798;7.870054803;20_snow72.csv
Florisuga mellivora;1.222942304;3.891727341;20_snow72.csv
Glaucis hirsutus;4.371018929;5.256266727;20_snow72.csv
Phaethornis guy;7.61986067;7.195135498;20_snow72.csv
Phaethornis longuemareus;13.91991056;13.89848772;20_snow72.csv
Amazilia tzacatl;3.148488941;4.456237918;21_mang50.csv
Florisuga mellivora;1;1;21_mang50.csv
Klais guimeti;0.176470588;1;21_mang50.csv
Phaeochroa cuvierii;0.017857143;1;21_mang50.csv
Phaethornis longirostris;7.12620199;11.32467565;21_mang50.csv
Phaethornis striigularis;7.551168735;3.845910305;21_mang50.csv
Thalurania colombica;2.813145936;4.934553893;21_mang50.csv
Threnetes ruckeri;0.166666667;1;21_mang50.csv
Doryfera ludovicae;1.869318182;2.396238975;22_mang1000.csv
Eupherusa nigriventris;5.931290654;9.413150657;22_mang1000.csv
Eutoxeres aquila;1;1;22_mang1000.csv
Heliodoxa jacula;0.142857143;1;22_mang1000.csv
Lampornis calolaemus;0.257575758;2;22_mang1000.csv
Lampornis hemileucus;5.721031191;5.037608707;22_mang1000.csv
Phaethornis guy;9.411260406;6.53289943;22_mang1000.csv
Phaethornis striigularis;0.666666667;2.828427125;22_mang1000.csv
Campylopterus hemileucurus;0.833333333;1.356131413;23_mang2000.csv
Doryfera ludovicae;0.066037736;1;23_mang2000.csv
Eugenes spectabilis;1.1;2;23_mang2000.csv
Heliodoxa jacula;0.483333333;1.754765351;23_mang2000.csv
Lampornis calolaemus;9.523391388;4.89564729;23_mang2000.csv
Panterpe insignis;1.973321019;3.973152294;23_mang2000.csv
Phaethornis guy;2.589937107;3.95925266;23_mang2000.csv
Selasphorus flammula;3.294282447;3.366573383;23_mang2000.csv
Selasphorus scintilla;0.136363636;1;23_mang2000.csv
Colibri cyanotus;2.09243117;2.334805669;24_wolf1.csv
Eugenes spectabilis;3.536542149;3.479898131;24_wolf1.csv
Panterpe insignis;5.89280948;8.109441171;24_wolf1.csv
Selasphorus flammula;6.478217201;9.119535033;24_wolf1.csv
Colibri cyanotus;2.666666667;2.336573541;25_wolf2.csv
Eugenes spectabilis;3.666666667;3.79770162;25_wolf2.csv
Lampornis cinereicauda;2.418055556;6.585507054;25_wolf2.csv
Panterpe insignis;7.240277778;8.355588312;25_wolf2.csv
Selasphorus flammula;9.008333333;8.813193264;25_wolf2.csv
Amazilia cyanifrons;1.314958092;1.583673706;26_snow803.csv
Amazilia franciae;2.216816975;4.32482386;26_snow803.csv
Amazilia tzacatl;3.30974274;2.618124584;26_snow803.csv
Anthracothorax nigricollis;0.563829787;1.906050217;26_snow803.csv
Chlorostilbon gibsoni;4.236363636;3.476541192;26_snow803.csv
Phaethornis guy;1.35828877;2.336573541;26_snow803.csv
Adelomyia melanogenys;3.035043969;5.708958911;27_snow802.csv
Aglaiocercus kingii;0.221276596;1.889881575;27_snow802.csv
Boissonneaua flavescens;1.905657519;3.092104035;27_snow802.csv
Chaetocercus mulsant;0.067676768;2;27_snow802.csv
Chlorostilbon poortmani;1.038304094;2.828961113;27_snow802.csv
Coeligena prunellei;7.081510595;5.812518195;27_snow802.csv
Coeligena torquata;2.253912754;4.851234141;27_snow802.csv
Colibri coruscans;2.469208038;3.318254221;27_snow802.csv
Colibri cyanotus;0.537588652;1.735125818;27_snow802.csv
Doryfera ludovicae;0.813186813;2.306975512;27_snow802.csv
Heliangelus clarisse;1.350098328;4.75716714;27_snow802.csv
Ocreatus underwoodii;1.226535875;3.746748298;27_snow802.csv
Amazilia saucerottei;2.35738357;6.423341753;28_Quindio_2_Uni.csv
Amazilia tzacatl;4.396947707;8.903109658;28_Quindio_2_Uni.csv
Anthracothorax nigricollis;1.779198552;4.470690761;28_Quindio_2_Uni.csv
Chlorostilbon melanorhynchus;1.942794548;5.490868404;28_Quindio_2_Uni.csv
Heliomaster longirostris;0.404002026;1.673058127;28_Quindio_2_Uni.csv
Phaethornis guy;3.119673597;3.201826755;28_Quindio_2_Uni.csv
Chlorostilbon poortmani;0.116372054;3;29_snow801.csv
Coeligena helianthea;1.496473064;3.633794564;29_snow801.csv
Ensifera ensifera;1;1;29_snow801.csv
Eriocnemis cupreoventris;0.414983165;2.290435255;29_snow801.csv
Eriocnemis vestita;0.24537037;1.914101563;29_snow801.csv
Heliangelus clarisse;0.238425926;1.631584933;29_snow801.csv
Lafresnaya lafresnayi;3.751473064;4.610327467;29_snow801.csv
Lesbia nuna;0.971271044;3.800319587;29_snow801.csv
Metallura tyrianthina;4.765631313;3.135020688;29_snow801.csv
Adelomyia melanogenys;1.036548274;6.242487646;30_Quindio_1_coffee.csv
Aglaiocercus kingii;0.649391318;1.749574839;30_Quindio_1_coffee.csv
Amazilia franciae;0.775558766;4.063365809;30_Quindio_1_coffee.csv
Amazilia saucerottei;2.156469156;4.364590531;30_Quindio_1_coffee.csv
Amazilia tzacatl;1.577891434;5.242343619;30_Quindio_1_coffee.csv
