Network_name;ACCESS1;bcc-csm1-1;BNU-ESM;CanESM2;CCSM4;CESM1-BGC;CESM1-CAM5;CMCC-CM;CMCC-CMS;CNRM-CM5;CSIRO-Mk3-6-0;FGOALS-g2;FIO-ESM;GFDL-CM3;GFDL-ESM2G;GFDL-ESM2M;GISS-E2-H;GISS-E2-H-CC;GISS-E2-R;GISS-E2-R-CC;HadGEM2-AO;HadGEM2-CC;inmcm4;IPSL-CM5A-LR;IPSL-CM5A-MR;MIROC-ESM;MIROC-ESM-CHEM;MIROC5;MPI-ESM-LR;MPI-ESM-MR;MRI-CGCM3;NorESM1-M
1_alarcon_co.csv;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
2_alarcon_ca.csv;0.932;0.31;0;0;0;0.868;0;0.055;0;0.422;0.032;0.429;0.514;0.208;0;0.161;0.59;0.63;0.779;0.084;0.876;0.646;0.641;0.109;0.684;0;0;0;0.638;0;0.845;0
4_Ortiz-Pulido_pino-ensino.csv;0;0;0.091;0;0.03;0;0.175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5_Ortiz-Pulido_bosques.csv;0;0;0.222;0;0.098;0;0.391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.066;0;0;0;0;0;0;0;0;0;0
6_Ortiz-Pulido_matorral.csv;0.112;0;0.288;0;0.161;0;0.443;0;0.066;0;0.022;0;0.022;0.042;0;0;0;0;0;0;0;0.079;0;0;0;0.008;0.016;0;0;0.022;0;0
7_Ortiz-Pulido_pachuca.csv;0;0.003;0.306;0;0.055;0;0.3;0;0.141;0;0.068;0;0;0;0.003;0;0;0;0;0;0;0;0.006;0.064;0.03;0;0;0.049;0;0;0;0.024
8_arizmendi.csv;0.696;0.607;0.383;0.889;0.546;0.82;0.694;0.44;0.103;0.026;0.711;0.781;0.265;0.56;0.757;0.934;0.344;0.219;0.275;0.251;0.891;0.793;0.142;0.875;0.983;0.386;0.781;0.967;0.245;0.474;0.529;0.715
9_ornelas.csv;0.032;0.4142;0.5326;0;0.214;0;0.3056;0.019;0.2546;0.023;0.2078;0.061;0.0844;0;0.2454;0.006;0.028;0;0;0;0;0.1108;0.437;0.815;0.756;0.15;0.3876;0.2556;0;0;0.026;0.3676
10_lara3.csv;0.602;0.858;0.324;0.086;0.217;0.14;0.299;0.46;0.103;0.342;0.271;0.588;0.248;0.183;0.287;0.326;0.523;0.305;0.12;0.237;0.196;0.255;0.287;0.841;0.76;0.785;0.515;0.233;0.13;0.138;0.385;0.53
11_lara2.csv;0.256333333;0.100666667;0.102666667;0.078666667;0.078333333;0.100666667;0.187666667;0.197333333;0.06;0.021333333;0.062666667;0.112;0.006666667;0.106666667;0.011666667;0.072666667;0.105333333;0.047666667;0.054;0.009;0.104666667;0.126666667;0.007333333;0.118666667;0.076666667;0.325;0.174;0.076;0.073333333;0.073666667;0.101333333;0.028666667
12_lara1.csv;0.47675;0.28;0.0345;0.229;0.07425;0.1985;0.104;0.438;0.03575;0.09575;0.022;0.38375;0.0145;0.18175;0.07;0.36975;0.4155;0.13175;0.2415;0.01675;0.13175;0.14675;0.1075;0.29775;0.35525;0.4275;0.1705;0.04475;0.0975;0.1285;0.24975;0.01625
20_snow72.csv;0.673428571;0.038428571;0.561;0.624714286;0.495142857;0.650285714;0.610428571;0.656857143;0.659;0.134;0.463142857;0.166571429;0.445714286;0.554285714;0.168714286;0.397714286;0.219;0.108142857;0.184285714;0.149571429;0.748142857;0.645714286;0.329285714;0.523857143;0.32;0.217714286;0.418714286;0.181285714;0.630571429;0.647142857;0.615571429;0.335857143
21_mang50.csv;0.521125;0.022375;0.193625;0.045;0;0;0;0.430625;0;0.01375;0;0.602125;0;0.57425;0.559625;0.223375;0.45425;0;0.285875;0.32775;0.02675;0.559875;0;0;0;0.32225;0.6845;0.44725;0.48025;0.52625;0;0.6555
22_mang1000.csv;0.358166667;0;0.212708333;0.327583333;0;0;0;0.786541667;0;0.000958333;0;0.492166667;0;0.50475;0.609916667;0.11225;0.650125;0;0.510583333;0.43875;0.004375;0.388916667;0;0;0;0.256958333;0.558;0.320458333;0.6895;0.798541667;0;0.735458333
23_mang2000.csv;0.154026316;0;0.260184211;0.401;0;0;0;0.594921053;0;0.017157895;0.047394737;0.241684211;0;0.199342105;0.642131579;0.030552632;0.629131579;0;0.603236842;0.509894737;0.001263158;0.204842105;0;0;0;0.0635;0.455789474;0.094105263;0.623526316;0.587578947;0;0.462578947
24_wolf1.csv;0.844;0;0.195;0.1;0.606;0.734;0.102;0.067;0.038;0.003;0.746;0.274;0.383;0.627;0;1;0;0.128;0;0;1;0.813;0.445;0.982;0.638;0.832;0.152;0.98;0;0;0;0.157
25_wolf2.csv;0.354;0.0295;0.2685;0.3735;0.253;0.355;0.084;0.455;0.1595;0.01;0.457;0.5685;0.1375;0.2455;0.0505;0.062;0.4875;0.0145;0.3025;0.0815;0.0045;0.5025;0.202;0.338;0.358;0.406;0.5005;0.1055;0.029;0.3675;0.0135;0.496
26_snow803.csv;0.041166667;0.015583333;0.00575;0.094833333;0;0.090333333;0.006666667;0.003333333;0;0.006666667;0.03325;0.004583333;0;0;0;0.237333333;0.096333333;0;0;0;0.015666667;0.201166667;0;0.293666667;0.00125;0.043416667;0.202583333;0.500833333;0.01;0.0075;0.00825;0.187083333
27_snow802.csv;0.56654122;0.497333185;0.060162054;0.196309375;0.074622619;0.558623958;0.252191815;0.225201935;0.0059375;0.412262798;0.366413839;0.299539732;0.006927083;0.03825119;0;0.698655804;0.184131696;0;0;0.027673661;0.478941071;0.707812202;0;0.392696726;0.146175298;0.466237946;0.694785119;0.667584821;0.433718155;0.459477381;0.28811369;0.696444345
28_Quindio_2_Uni.csv;0.008;0.249;0;0;0.111;0.289;0.109;0;0;0;0;0.02;0.149;0;0;0.448;0.052;0;0;0.016;0.004;0.121;0;0.033;0.094;0;0.055;0.257;0.021;0.033;0.025;0.48
