Network_name;ACCESS1;bcc-csm1-1;BNU-ESM;CanESM2;CCSM4;CESM1-BGC;CESM1-CAM5;CMCC-CM;CMCC-CMS;CNRM-CM5;CSIRO-Mk3-6-0;FGOALS-g2;FIO-ESM;GFDL-CM3;GFDL-ESM2G;GFDL-ESM2M;GISS-E2-H;GISS-E2-H-CC;GISS-E2-R;GISS-E2-R-CC;HadGEM2-AO;HadGEM2-CC;inmcm4;IPSL-CM5A-LR;IPSL-CM5A-MR;MIROC-ESM;MIROC-ESM-CHEM;MIROC5;MPI-ESM-LR;MPI-ESM-MR;MRI-CGCM3;NorESM1-M
1_alarcon_co.csv;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2_alarcon_ca.csv;0.188;0.2805;0;0.674;0.08;0.523;0.9995;0;0;0.6515;0.0335;0.203;0;0.3455;0.0525;0;0.451;0.479;0.2945;0.247;0.3395;0.0995;0.697;0.0025;0.44;0.0205;0;0.5975;0.099;0.392;0.842;0
4_Ortiz-Pulido_pino-ensino.csv;0.023;0;0;0;0;0;0.909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5_Ortiz-Pulido_bosques.csv;0.077;0;0;0;0;0;0.923666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.018666667;0.004333333;0;0;0;0;0;0;0;0;0;0
6_Ortiz-Pulido_matorral.csv;0.09;0;0;0;0;0;0.998333333;0.045666667;0.001;0;0;0.011333333;0;0;0;0;0;0;0;0;0.029333333;0.022666667;0;0;0;0;0;0.014333333;0;0.017;0;0
7_Ortiz-Pulido_pachuca.csv;0;0;0;0;0;0;0.696833333;0;0;0;0;0;0;0;0.002666667;0;0;0;0;0;0;0;0.002666667;5.00E-04;0.0125;0;0;0;0;0;0;0
8_arizmendi.csv;0.2455;0.04575;0.069;0.52625;0.39;0.298;0.545;0.533;0.173;0.22725;0.46225;0.175;0.212;0.2835;0.20225;0.49725;0.02125;0.0305;0.266;0.1735;0.03025;0.09025;0.185;0.39775;0.62525;0.11525;0.355;0.42675;0.249;0.2945;0.58225;0.3175
9_ornelas.csv;0.004;0.024;0.033666667;5.00E-04;0.000416667;0.004833333;0.331083333;0.016583333;0;0.006833333;0.002;0;0.034416667;0;0.052583333;0;0;0.00125;0;0;0.012583333;0;0.067666667;0.091833333;0.14925;0.016916667;0.001;0.01175;0.003666667;0.001166667;0.01075;0.009666667
10_lara3.csv;0.077818182;0.080363636;0.035545455;0.028636364;0.042818182;0.053181818;0.404181818;0.124090909;0.008909091;0.081909091;0.045090909;0.036272727;0.077;0.012;0.036818182;0.015090909;0.023454545;0.037363636;0.018454545;0.024818182;0.031272727;0.004181818;0.048363636;0.106363636;0.250727273;0.136090909;0.037272727;0.078363636;0.055181818;0.051454545;0.100272727;0.039090909
11_lara2.csv;0.095;0.0072;0.0136;0.0286;0.0274;0.0308;0.6228;0.104;0.0272;0.0286;0.0116;0.0504;0.0082;0.019;0.0098;0.0136;0.0094;0.0142;0.0122;0.0058;0.0262;0.032;0.0072;0.0172;0.116;0.1006;0.0286;0.032;0.0256;0.0564;0.0436;0.0062
