Network_name;ACCESS1;bcc-csm1-1;BNU-ESM;CanESM2;CCSM4;CESM1-BGC;CESM1-CAM5;CMCC-CM;CMCC-CMS;CNRM-CM5;CSIRO-Mk3-6-0;FGOALS-g2;FIO-ESM;GFDL-CM3;GFDL-ESM2G;GFDL-ESM2M;GISS-E2-H;GISS-E2-H-CC;GISS-E2-R;GISS-E2-R-CC;HadGEM2-AO;HadGEM2-CC;inmcm4;IPSL-CM5A-LR;IPSL-CM5A-MR;MIROC-ESM;MIROC-ESM-CHEM;MIROC5;MPI-ESM-LR;MPI-ESM-MR;MRI-CGCM3;NorESM1-M
1_alarcon_co.csv;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
2_alarcon_ca.csv;0.377;0.458;0;0.882;0.176;0.765;1;0;0;0.867;0.05;0.356;0;0.575;0.101;0;0.674;0.716;0.516;0.457;0.545;0.175;0.909;0.002;0.67;0.045;0;0.853;0.184;0.623;0.971;0
4_Ortiz-Pulido_pino-ensino.csv;0.042;0;0;0;0;0;0.992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5_Ortiz-Pulido_bosques.csv;0.221;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.065;0.014;0;0;0;0;0;0;0;0;0;0
6_Ortiz-Pulido_matorral.csv;0.237;0;0;0;0;0;0.006;0.126;0.003;0;0;0.045;0;0;0;0;0;0;0;0;0.078;0.064;0;0;0;0;0;0.043;0;0.047;0;0
7_Ortiz-Pulido_pachuca.csv;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0.009;0.003;0.072;0;0;0;0;0;0;0
8_arizmendi.csv;0.692;0.167;0.251;0.97;0.863;0.779;0.98;0.966;0.499;0.686;0.941;0.582;0.597;0.779;0.584;0.971;0.101;0.105;0.728;0.555;0.135;0.305;0.559;0.897;0.992;0.413;0.866;0.905;0.693;0.753;0.981;0.803
9_ornelas.csv;0.0636;0.2582;0.3666;0.005;0.007;0.073;0.5064;0.194;0;0.097;0.028;0;0.3316;0;0.446;0;0;0.008;0;0;0.1146;0;0.5508;0.6576;0.8192;0.211;0.027;0.126;0.051;0.02;0.127;0.1196
10_lara3.csv;0.592;0.602;0.298;0.306;0.387;0.441;1;0.809;0.091;0.621;0.4;0.331;0.601;0.132;0.355;0.168;0.237;0.348;0.224;0.257;0.318;0.038;0.427;0.712;0.975;0.833;0.329;0.599;0.511;0.465;0.717;0.371
11_lara2.csv;0.366333333;0.026666667;0.059;0.131333333;0.134666667;0.168333333;0.369333333;0.398666667;0.120333333;0.146666667;0.056;0.195666667;0.043333333;0.081333333;0.035;0.072;0.05;0.061;0.056;0.039;0.124333333;0.144666667;0.027333333;0.064333333;0.355;0.351666667;0.143666667;0.163;0.121;0.246;0.198;0.022
12_lara1.csv;0.523;0.07375;0.027;0.293;0.221;0.27425;0.57975;0.60875;0.16975;0.265;0.116;0.282;0.30075;0.1505;0.136;0.18325;0.13125;0.254;0.20675;0.03975;0.10775;0.13925;0.0955;0.157;0.54475;0.42175;0.2165;0.284;0.33675;0.3955;0.4515;0.154
20_snow72.csv;0.641142857;0.131;0.604857143;0.659285714;0.632571429;0.519;0.210857143;0.499857143;0.579571429;0.390142857;0.497142857;0.128285714;0.677285714;0.389571429;0.369857143;0.205857143;0.419428571;0.240142857;0.196428571;0.236;0.653142857;0.684;0.569142857;0.543428571;0.547142857;0.204142857;0.153857143;0.477714286;0.511571429;0.363571429;0.693;0.643571429
21_mang50.csv;0.681875;0.468875;0;0;0;0;0.092;0.644375;0.001;0.2495;0.703875;0.622;0;0.509375;0;0.460875;0;0;0;0.39525;0.38275;0.682875;0;0;0;0.416625;0.676375;0.32025;0.025;0.081;0;0
