Network_name;ACCESS1;bcc-csm1-1;BNU-ESM;CanESM2;CCSM4;CESM1-BGC;CESM1-CAM5;CMCC-CM;CMCC-CMS;CNRM-CM5;CSIRO-Mk3-6-0;FGOALS-g2;FIO-ESM;GFDL-CM3;GFDL-ESM2G;GFDL-ESM2M;GISS-E2-H;GISS-E2-H-CC;GISS-E2-R;GISS-E2-R-CC;HadGEM2-AO;HadGEM2-CC;inmcm4;IPSL-CM5A-LR;IPSL-CM5A-MR;MIROC-ESM;MIROC-ESM-CHEM;MIROC5;MPI-ESM-LR;MPI-ESM-MR;MRI-CGCM3;NorESM1-M
1_alarcon_co.csv;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
2_alarcon_ca.csv;0.1695;0.1965;0;0.2225;0.085;0.2445;0;0;0;0.2265;0.025;0.164;0;0.219;0.0495;0;0.243;0.2455;0.2105;0.197;0.2175;0.085;0.2185;0.001;0.248;0.0225;0;0.2355;0.0875;0.2365;0.141;0
4_Ortiz-Pulido_pino-ensino.csv;0.021;0;0;0;0;0;0.101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5_Ortiz-Pulido_bosques.csv;0.144666667;0;0;0;0;0;0.070666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0.043333333;0.009333333;0;0;0;0;0;0;0;0;0;0
6_Ortiz-Pulido_matorral.csv;0.1779;0;0;0;0;0;0.0024;0.0882;0.0021;0;0;0.0315;0;0;0;0;0;0;0;0;0.057;0.0466;0;0;0;0;0;0.0301;0;0.0329;0;0
7_Ortiz-Pulido_pachuca.csv;0;0;0;0;0;0;0.304666667;0;0;0;0;0;0;0;0.016666667;0;0;0;0;0;0;0;0.0075;0.0025;0.06;0;0;0;0;0;0;0
8_arizmendi.csv;0.4435;0.12325;0.18275;0.4375;0.4885;0.486;0.44375;0.4435;0.344;0.4485;0.4775;0.3875;0.39225;0.481;0.3945;0.476;0.0745;0.07825;0.4665;0.3825;0.09975;0.22325;0.38075;0.4865;0.3575;0.29525;0.50675;0.47925;0.449;0.4625;0.409;0.48925
9_ornelas.csv;0.061265873;0.245809524;0.342464286;0.004583333;0.006416667;0.066916667;0.661876984;0.177833333;0;0.088916667;0.025583333;0;0.30852381;0;0.420595238;0;0;0.007333333;0;0;0.121468254;0;0.521214286;0.603992063;0.737130952;0.193416667;0.02475;0.115333333;0.04675;0.018333333;0.116416667;0.11218254
10_lara3.csv;0.514909091;0.528545455;0.267454545;0.274363636;0.344727273;0.391363636;0.605272727;0.680909091;0.082727273;0.543181818;0.357;0.296;0.524545455;0.119181818;0.316090909;0.151818182;0.213727273;0.311818182;0.201909091;0.231272727;0.285;0.034545455;0.379454545;0.608363636;0.724090909;0.700818182;0.295454545;0.524090909;0.452727273;0.412545455;0.618454545;0.328636364
11_lara2.csv;0.324947368;0.025684211;0.054026316;0.109473684;0.112315789;0.139289474;0.3705;0.349052632;0.108789474;0.120631579;0.047894737;0.171105263;0.043210526;0.068131579;0.035184211;0.058736842;0.040789474;0.051605263;0.045684211;0.031815789;0.113710526;0.125078947;0.0285;0.067894737;0.350210526;0.319184211;0.119842105;0.135921053;0.100736842;0.210631579;0.170368421;0.017947368
12_lara1.csv;0.476448276;0.073517241;0.023586207;0.280431034;0.204241379;0.257103448;0.559189655;0.579655172;0.152758621;0.249948276;0.107155172;0.256551724;0.304086207;0.138086207;0.137086207;0.170137931;0.123413793;0.247482759;0.197362069;0.035327586;0.097431034;0.126758621;0.095655172;0.161344828;0.547;0.400413793;0.196948276;0.260103448;0.318517241;0.364465517;0.432724138;0.149189655
20_snow72.csv;0.664457746;0.129626761;0.634676056;0.700950704;0.665302817;0.596746479;0.300464789;0.528725352;0.600577465;0.385147887;0.520880282;0.122204225;0.706485915;0.383007042;0.378021127;0.199549296;0.408457746;0.231661972;0.184295775;0.223640845;0.675084507;0.698366197;0.58643662;0.573760563;0.551866197;0.201471831;0.159802817;0.502915493;0.539549296;0.405070423;0.691838028;0.689401408
21_mang50.csv;0.649091346;0.463418269;0;0;0;0;0.083153846;0.636129808;0.001;0.244519231;0.680033654;0.603942308;0;0.479370192;0;0.423581731;0;0;0;0.391884615;0.362730769;0.664302885;0;0;0;0.385639423;0.659225962;0.287884615;0.025;0.081;0;0
22_mang1000.csv;0.501472222;0.551305556;0;0;0;0;0.542736111;0.411097222;0.182944444;0.285875;0.599194444;0.40625;0;0.284305556;0;0.255777778;0;0;0;0.489361111;0.203305556;0.543361111;0;0;0;0.218791667;0.599777778;0.142472222;0.199125;0.415236111;0;0
23_mang2000.csv;0.460920245;0.644690184;0;0;0;0;0.436294479;0.324312883;0.369303681;0.372104294;0.575113497;0.33142638;0;0.215861963;0;0.198533742;0;0;0.015929448;0.611907975;0.142957055;0.501141104;0;0;0;0.158779141;0.578917178;0.096871166;0.432515337;0.652904908;0;0
